question,explication
What are two responsibilities that you will have as a British citizen or permanent resident of the UK?,"If you wish to be a permanent resident or citizen of the UK, you should:look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
Where is Big Ben located?,Big Ben is the nickname for the great bell of the clockat the Houses of Parliament in London.
When were men and women given the right to vote at the age of 21?,"In1928, women were given the right to vote at the age of 21, the same as men."
Where is the UK geographically located?,The UK is located in thenorth west of Europe.
Who is the patron Saint of Scotland?,The patron Saint of Scotland isSt Andrew.
Which two houses fought in the Wars of the Roses?,The Wars of the Roses were fought between the supporters of two families:the House of Lancaster and the House of York.
The Bill of Rights of 1689 confirmed the right to vote for all adult men.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
What is the Cenotaph?,"The Cenotaph isa war memorialand it is the site of the annual Remembrance Day service attended by the King, politicians and foreign ambassadors."
Who was the first female Prime Minister of the UK?,Margaret Thatcherwas the first woman Prime Minister of the UK.
Who chairs the debates at the House of Commons?,Debates in the House of Commons are chaired bythe Speaker.
Who was the captain of the English football team that won the World Cup in 1966?,Bobby Moorecaptained the English football team that won the World Cup in 1966.
When did the English defeat the Spanish Armada?,In1588the English defeated the Spanish Armada.
Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.,This statement isTRUE.
What is the minimum age required to serve on a jury?,Anyone who is on the electoral register and is aged18to 70 can be asked to serve on a jury.
How is a jury selected?,"As well as getting the right to vote,people on the electoral register are randomly selectedto serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
What is a bank holiday?,"There are public holidays each year called bank holidays,when banks and many other businesses are closed for the day."
What will you be given to vote before a general election takes place?,Before the election you will be sent apoll card.
Which of the following statements is correct?,Solicitors’ charges are usually based on how much time they spend of a case.
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law,radio and televisioncoverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
Which of the following territories is a Crown dependency but is NOT part of the UK?,"The Channel Islandsis a British overseas territory linked to the UK, but it is not part of it."
What did Sir Frank Whittle invent in the 1930s?,Thejet enginewas developed in Britain in the 1930s bySir Frank Whittle.
Who wrote ‘The Daffodils’?,The British poetWilliam Wordsworthwrote ‘The Daffodils’.
Who was given the title of Lord Protector?,Oliver Cromwellwas given the title of Lord Protector and ruled until his death in 1658.
What are the 40 days before Easter called?,The 40 days before Easter are known asLent.
What is the Home Secretary responsible for?,"The Home Secretary is responsible forcrime, policing and immigration."
St Helena is a British overseas territory and it is part of the United Kingdom.,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but arenot part of it."
Several Church of England bishops sit in the House of Lords.,This statement istrue.
"When walking your dog in a public place, you must ensure:",All dogs in public places must weara collar showing the name and address of the owner.
Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during theFirst World War."
When did Ireland become a republic?,Ireland became a republic in1949.
Where did the first farmers come from?,"The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came fromsouth-east Europe."
Who was an important contributor to the ‘pop art’ movement of the 1960’s?,David Hockneywas an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today.
Who became Prime Minister and was an inspirational leader to the British people during WWII?,Winston Churchill.
Who led the first invasion of Britain?,"Julius Caesarled a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?,"The Anglo-Saxon kingdoms in England united underKing Alfred the Great, who defeated the Vikings."
When was the Magna Carta created?,The Magna Carta was created in1215.
"Northern Ireland has its own banknotes, which are valid everywhere in the UK.",This statement istrue.
Which of the following plays was written by William Shakespeare?,William Shakespeare’s most famous plays includeA Midsummer Night’s dream.
"How many members does a jury have in England, Wales and Northern Ireland?","In England, Wales and Northern Ireland a jury has12 members."
Which two of the following religious communities celebrate Diwali?,Diwali is celebrated byHindus and Sikhs.
What is Good Friday?,Good Fridaymarks the death of Jesus Christduring the Easter.
St Patrick’s day is a public holiday in Northern Ireland.,True. Only Scotland and Northern Ireland have their patron saint’s day as an official holiday (although in Scotland not all businesses and offices will close).
Which was the last successful foreign invasion of England that took place in 1066?,The Norman Conquestwas the last successful foreign invasion of England in 1066.
Where are the Crown Jewels kept?,The Crown Jewels are kept atthe Tower of London.
Which sport can be traced back to the 15th century in Scotland?,The modern game ofgolfcan be traced back to 15th century Scotland.
Who was the first person in England to print books using a printing press?,William Caxtonwas the first person in England to print books using a printing press.
"Which court deals with minor criminal cases in England, Wales and Northern Ireland?","In England, Wales and Northern Ireland, most minor criminal cases are dealt with in aMagistrates’ Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."
What did the Scottish John Logie Baird develop?,Thetelevisionwas developed by Scotsman John Logie Baird in the 1920s.
Which of the following is a fundamental principle of British life?,Individual libertyis the correct answer.
Wales has its own established church.,False. There is no established Church in Wales or Northern Ireland.
How is New Year’s Eve called in Scotland?,"In Scotland, the 31st of December (New Year’s Eve) is calledHogmanay."
Why did Henry VIII establish the church of England?,"To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
What is the name of the long war that English kings fought with France in the middle ages?,"English kings fought a long war with France, calledthe Hundred Years War(even though it actually lasted 116 years)."
